,name,company,year,kms_driven,fuel_type,Price
198,Tata Sumo Victa,Tata,2012,65000,Diesel,285000
199,Maruti Suzuki Wagon,Maruti,2010,54870,Petrol,145000
200,Maruti Suzuki Alto,Maruti,2010,34580,Petrol,135000
201,Volkswagen Passat Diesel,Volkswagen,2009,97000,Diesel,450000
202,Renault Scala RxL,Renault,2015,25000,Diesel,375000
203,Mahindra Quanto C8,Mahindra,2013,20000,Diesel,375000
204,Hyundai Grand i10,Hyundai,2014,20000,Petrol,365000
205,Hyundai i20 Active,Hyundai,2015,18000,Petrol,500000
206,Mahindra Xylo E4,Mahindra,2012,35000,Diesel,400000
207,Mahindra Jeep MM,Mahindra,2019,60,Diesel,390000
208,Renault Duster 110PS,Renault,2012,35000,Diesel,501000
209,Mahindra Bolero SLE,Mahindra,2013,80200,Diesel,330000
210,Force Motors Force,Force,2015,3200,Diesel,580000
211,Maruti Suzuki SX4,Maruti,2012,46000,Diesel,265000
212,Mahindra Jeep CL550,Mahindra,2019,0,Diesel,379000
213,Maruti Suzuki Alto,Maruti,2015,5000,Petrol,219000
214,Mahindra Jeep CL550,Mahindra,2018,588,Diesel,385000
215,Toyota Etios,Toyota,2011,36000,Diesel,275000
216,Volkswagen Polo,Volkswagen,2015,38000,Diesel,330000
217,Honda City ZX,Honda,2008,45000,Petrol,110000
218,Maruti Suzuki Wagon,Maruti,2006,71200,Petrol,80000
219,Honda City VX,Honda,2016,52000,Diesel,519000
220,Mahindra Thar CRDe,Mahindra,2016,29000,Diesel,730000
221,Mitsubishi Pajero Sport,Mitsubishi,2015,47000,Diesel,1475000
222,Audi A4 1.8,Audi,2009,47000,Petrol,699000
223,Mercedes Benz GLA,Mercedes,2015,20000,Diesel,2000000
224,Land Rover Freelander,Land,2015,30000,Diesel,2100000
225,Renault Kwid RXT,Renault,2017,5000,Petrol,340000
226,Tata Aria Pleasure,Tata,2014,35000,Diesel,390000
227,Mercedes Benz B,Mercedes,2014,31000,Petrol,1400000
228,Datsun GO T,Datsun,2016,7000,Petrol,245000
229,Tata Indigo eCS,Tata,2016,175430,Diesel,320000
230,Tata Indigo eCS,Tata,2016,175400,Diesel,320000
231,Honda Jazz VX,Honda,2016,41000,Petrol,450000
232,Honda Amaze 1.2,Honda,2014,33000,Petrol,311000
233,Honda Amaze,Honda,2013,46000,Diesel,284999
234,Honda City,Honda,2012,45000,Petrol,399999
235,Honda City,Honda,2015,39000,Diesel,599999
236,Honda Amaze,Honda,2015,22000,Petrol,344999
237,Audi A4 1.8,Audi,2009,47000,Petrol,699000
238,Force Motors Force,Force,2015,3200,Diesel,580000
239,Mahindra Scorpio S4,Mahindra,2015,30000,Diesel,855000
240,Hyundai i20 Active,Hyundai,2015,37000,Diesel,535000
241,Mini Cooper S,Mini,2013,13000,Petrol,1891111
242,Maruti Suzuki Ciaz,Maruti,2017,14000,Petrol,699000
243,Chevrolet Tavera Neo,Chevrolet,2013,55000,Diesel,375000
244,Honda Amaze,Honda,2013,46000,Diesel,284999
245,Hyundai Eon Sportz,Hyundai,2012,30000,Petrol,178000
246,Tata Sumo Gold,Tata,2013,50000,Diesel,300000
247,Maruti Suzuki Wagon,Maruti,2003,45000,Petrol,90000
248,Maruti Suzuki Esteem,Maruti,2006,45000,Petrol,95000
249,Maruti Suzuki Eeco,Maruti,2015,9300,Petrol,255000
250,Chevrolet Enjoy 1.4,Chevrolet,2013,55000,Diesel,245000
251,Hyundai i20 Asta,Hyundai,2012,36200,Diesel,329500
252,Ford Figo Diesel,Ford,2014,50000,Diesel,195000
253,Maruti Suzuki Eeco,Maruti,2015,55000,Petrol,251111
254,Maruti Suzuki Ertiga,Maruti,2014,45000,Petrol,569999
255,Maruti Suzuki Esteem,Maruti,2007,51000,Petrol,69999
256,Maruti Suzuki Ritz,Maruti,2014,19000,Petrol,299999
257,Maruti Suzuki Dzire,Maruti,2009,46000,Petrol,220000
258,Maruti Suzuki Ritz,Maruti,2013,33000,Diesel,399999
259,Maruti Suzuki SX4,Maruti,2010,36000,Petrol,249999
260,Maruti Suzuki Wagon,Maruti,2015,22000,Petrol,289999
261,Mini Cooper S,Mini,2013,13500,Petrol,1891111
262,Nissan Terrano XL,Nissan,2015,60000,Diesel,499999
263,Renault Duster 85,Renault,2013,27000,Diesel,489999
264,Renault Duster 85,Renault,2014,59000,Diesel,489999
265,Renault Duster 85,Renault,2015,19000,Diesel,549999
266,Maruti Suzuki Dzire,Maruti,2013,30000,Petrol,380000
267,Renault Kwid RXT,Renault,2018,15000,Petrol,325000
268,Maruti Suzuki Maruti,Maruti,2003,56758,Petrol,57000
269,Renault Kwid 1.0,Renault,2018,10000,Petrol,349999
270,Renault Lodgy 85,Renault,2018,20000,Diesel,689999
271,Renault Scala RxL,Renault,2014,49000,Diesel,349999
272,Hyundai Grand i10,Hyundai,2014,41000,Petrol,410000
273,Maruti Suzuki Swift,Maruti,2011,45000,Petrol,225000
274,Chevrolet Beat LS,Chevrolet,2010,43000,Petrol,120000
275,Tata Indigo eCS,Tata,2016,175430,Diesel,320000
276,Hyundai Santro Xing,Hyundai,2000,56450,Petrol,59000
277,Hyundai Fluidic Verna,Hyundai,2015,38000,Diesel,540000
278,Chevrolet Beat LS,Chevrolet,2010,56000,Petrol,80000
279,Mahindra Quanto C8,Mahindra,2013,37000,Diesel,340000
280,Fiat Petra ELX,Fiat,2008,65000,Petrol,75000
281,Chevrolet Beat LS,Chevrolet,2015,32700,Petrol,220000
282,Skoda Fabia 1.2L,Skoda,2011,38200,Diesel,159500
283,Ford EcoSport Titanium,Ford,2016,30000,Diesel,599000
284,Hyundai Accent GLX,Hyundai,2006,56000,Petrol,80000
285,Mahindra TUV300 T4,Mahindra,2016,9000,Diesel,675000
286,Mini Cooper S,Mini,2013,13000,Petrol,1891111
287,Mini Cooper S,Mini,2013,13000,Petrol,1891111
288,Tata Indica V2,Tata,2008,11000,Petrol,150000
289,Mini Cooper S,Mini,2013,13000,Petrol,1891111
290,Tata Indigo CS,Tata,2009,46000,Diesel,72500
291,Maruti Suzuki Swift,Maruti,2019,73,Petrol,610000
292,Mahindra Scorpio VLX,Mahindra,2004,160000,Diesel,230000
293,Honda Accord,Honda,2009,58559,Petrol,175000
294,Mahindra Scorpio S4,Mahindra,2015,30000,Diesel,855000
295,Chevrolet Tavera Neo,Chevrolet,2013,55000,Diesel,375000
296,Ford EcoSport Titanium,Ford,2014,57000,Diesel,520000
297,Maruti Suzuki Ertiga,Maruti,2015,50000,Diesel,524999
298,Honda Amaze,Honda,2014,37000,Petrol,299999
299,Maruti Suzuki Dzire,Maruti,2012,40000,Petrol,299999
300,Honda City,Honda,2011,55000,Petrol,284999
301,Mahindra Scorpio 2.6,Mahindra,2007,170000,Diesel,220000
302,Maruti Suzuki Dzire,Maruti,2014,55000,Diesel,424999
303,Honda City,Honda,2015,39000,Petrol,644999
304,Honda Mobilio,Honda,2014,44000,Petrol,399999
305,Toyota Corolla Altis,Toyota,2009,65000,Petrol,199999
306,Honda City,Honda,2014,39000,Petrol,584999
307,Skoda Laura,Skoda,2012,44000,Diesel,349999
308,Renault Duster,Renault,2015,49000,Diesel,449999
309,Maruti Suzuki Ertiga,Maruti,2018,9000,Diesel,799999
310,Maruti Suzuki Dzire,Maruti,2015,45000,Diesel,444999
311,Mahindra XUV500,Mahindra,2014,47000,Diesel,649999
312,Hyundai Verna Fluidic,Hyundai,2012,40000,Diesel,444999
313,Maruti Suzuki Vitara,Maruti,2016,29000,Diesel,689999
314,Maruti Suzuki Wagon,Maruti,2016,15000,Petrol,344999
315,Mahindra Scorpio,Mahindra,2015,45000,Diesel,944999
316,Honda Amaze,Honda,2014,35000,Petrol,274999
317,Mahindra XUV500,Mahindra,2013,80000,Diesel,689999
318,Mahindra Scorpio,Mahindra,2013,68000,Diesel,574999
319,Skoda Laura,Skoda,2013,50000,Diesel,374999
320,Volkswagen Polo,Volkswagen,2010,60000,Diesel,199999
321,Hyundai Elite i20,Hyundai,2016,9000,Petrol,549999
322,Tata Manza Aura,Tata,2012,72000,Diesel,130000
323,Chevrolet Sail UVA,Chevrolet,2013,60000,Petrol,210000
324,Renault Duster 110,Renault,2012,38000,Diesel,501000
325,Hyundai Verna Fluidic,Hyundai,2013,45000,Diesel,401000
326,Audi A4 2.0,Audi,2012,40000,Diesel,1350000
327,Hyundai Elantra SX,Hyundai,2013,20000,Petrol,600000
328,Mahindra Scorpio VLX,Mahindra,2013,35000,Diesel,610000
329,Mahindra KUV100 K8,Mahindra,2016,20000,Diesel,400000
330,Renault Scala RxL,Renault,2015,25000,Diesel,375000
331,Mahindra Quanto C8,Mahindra,2013,20000,Diesel,375000
332,Hyundai Grand i10,Hyundai,2014,20000,Petrol,365000
333,Hyundai i20 Active,Hyundai,2015,18000,Petrol,500000
334,Mahindra Xylo E4,Mahindra,2012,35000,Diesel,400000
335,Hyundai Grand i10,Hyundai,2017,6821,Petrol,524999
336,Hyundai i20,Hyundai,2014,23000,Petrol,449999
337,Hyundai Eon,Hyundai,2014,14000,Petrol,174999
338,Hyundai i10,Hyundai,2012,38000,Petrol,244999
339,Hyundai i20 Active,Hyundai,2015,35000,Diesel,574999
340,Datsun Redi GO,Datsun,2017,22000,Petrol,244999
341,Toyota Etios Liva,Toyota,2011,41000,Petrol,239999
342,Hyundai Accent,Hyundai,2010,45000,Petrol,99999
343,Hyundai Verna,Hyundai,2014,44000,Diesel,489999
344,Maruti Suzuki Swift,Maruti,2013,45000,Diesel,324999
345,Toyota Fortuner,Toyota,2011,52000,Diesel,1074999
346,Hyundai i10 Sportz,Hyundai,2012,34000,Petrol,230000
347,Mahindra Bolero Power,Mahindra,2018,1800,Diesel,699000
348,Mahindra XUV500,Mahindra,2015,15000,Diesel,1000000
349,Honda City 1.5,Honda,2010,400000,Petrol,240000
350,Chevrolet Spark LT,Chevrolet,2009,44000,Petrol,110000
351,Mahindra Jeep MM,Mahindra,2019,60,Diesel,390000
352,Renault Duster 110PS,Renault,2012,35000,Diesel,501000
353,Mahindra XUV500,Mahindra,2016,72000,Diesel,1130000
354,Tata Indigo eCS,Tata,2014,40000,Diesel,250000
355,Mahindra Bolero SLE,Mahindra,2013,80200,Diesel,330000
356,Force Motors Force,Force,2015,3200,Diesel,580000
357,Skoda Rapid Elegance,Skoda,2013,48000,Diesel,340000
358,Tata Vista Quadrajet,Tata,2011,90000,Diesel,120000
359,Maruti Suzuki Alto,Maruti,2015,12000,Petrol,265000
360,Maruti Suzuki SX4,Maruti,2012,46000,Diesel,265000
361,Maruti Suzuki Zen,Maruti,2003,69900,Petrol,85000
362,Mahindra Jeep CL550,Mahindra,2019,0,Diesel,379000
363,Hyundai i10 Magna,Hyundai,2011,45000,Petrol,175000
364,Maruti Suzuki Alto,Maruti,2015,5000,Petrol,219000
365,Maruti Suzuki Swift,Maruti,2016,166000,Diesel,350000
366,Honda City ZX,Honda,2008,42000,Petrol,149000
367,Mahindra Jeep CL550,Mahindra,2018,588,Diesel,385000
368,Mahindra Jeep MM,Mahindra,2006,122,Diesel,425000
369,Chevrolet Beat Diesel,Chevrolet,2017,62000,Diesel,150000
370,Honda City 1.5,Honda,2010,70000,Petrol,225000
371,Hyundai Verna 1.4,Hyundai,2014,36000,Petrol,375000
372,Toyota Innova 2.5,Toyota,2012,0,Diesel,770000
373,Maruti Suzuki Maruti,Maruti,1995,55000,Petrol,30000
374,Toyota Etios,Toyota,2011,36000,Diesel,275000
375,Volkswagen Polo,Volkswagen,2015,38000,Diesel,330000
376,Maruti Suzuki Swift,Maruti,2014,55000,Diesel,335000
377,Hyundai Elite i20,Hyundai,2015,20000,Diesel,450000
378,Maruti Suzuki Swift,Maruti,2012,40000,Petrol,225000
379,Maruti Suzuki Versa,Maruti,2004,50000,Petrol,80000
380,Tata Indigo LX,Tata,2016,104000,Diesel,130000
381,Volkswagen Vento Konekt,Volkswagen,2011,65000,Diesel,245000
382,Mercedes Benz C,Mercedes,2002,41000,Petrol,399000
383,Maruti Suzuki Ertiga,Maruti,2013,90000,Diesel,450000
384,Honda City,Honda,2000,80000,Petrol,65000
385,Hyundai Santro Xing,Hyundai,2006,46000,Petrol,75000
386,Maruti Suzuki Omni,Maruti,2001,70000,Petrol,70000
387,Hyundai Sonata Transform,Hyundai,2017,36469,Diesel,190000
388,Hyundai Elite i20,Hyundai,2018,7800,Petrol,600000
389,Volkswagen Vento Konekt,Volkswagen,2011,65000,Diesel,245000
390,Maruti Suzuki Alto,Maruti,2017,60000,Petrol,240000
391,Maruti Suzuki Alto,Maruti,2011,32000,Petrol,155000
392,Honda Jazz S,Honda,2009,24695,Petrol,169999
393,Hyundai Grand i10,Hyundai,2017,15141,Petrol,450000
394,Maruti Suzuki Zen,Maruti,2001,40000,Petrol,40000
395,Mahindra Scorpio W,Mahindra,2012,65000,Diesel,165000
396,Maruti Suzuki Alto,Maruti,2014,22000,Petrol,270000
397,Hyundai Grand i10,Hyundai,2016,59910,Diesel,280000
398,Mahindra XUV500 W8,Mahindra,2012,100000,Diesel,560000
399,Hyundai Creta 1.6,Hyundai,2016,25000,Petrol,950000
400,Hyundai i20 Magna,Hyundai,2013,35000,Petrol,310000
401,Renault Duster 85,Renault,2015,65000,Diesel,715000
402,Hyundai Grand i10,Hyundai,2014,35000,Petrol,340000
403,Honda Brio V,Honda,2012,33000,Petrol,235000
404,Mahindra TUV300 T4,Mahindra,2017,68000,Diesel,610000
405,Chevrolet Spark LS,Chevrolet,2010,23000,Petrol,95000
406,Mahindra TUV300 T8,Mahindra,2018,4500,Diesel,1000000
407,Maruti Suzuki Swift,Maruti,2015,129000,Diesel,220000
408,Nissan X Trail,Nissan,2019,300,Diesel,1200000
409,Maruti Suzuki Alto,Maruti,2015,5000,Petrol,230000
410,Ford Ikon 1.3,Ford,2001,65000,Petrol,45000
411,Toyota Fortuner 3.0,Toyota,2010,131000,Diesel,940000
412,Tata Manza ELAN,Tata,2010,111111,Petrol,155555
413,Mercedes Benz A,Mercedes,2013,14000,Petrol,1500000
414,Chevrolet Beat LS,Chevrolet,2016,22000,Diesel,210000
415,Ford EcoSport Trend,Ford,2013,38000,Diesel,495000
416,Tata Indigo LS,Tata,2016,70000,Diesel,125000
417,Hyundai i20 Magna,Hyundai,2010,36000,Petrol,195000
418,Volkswagen Vento Highline,Volkswagen,2015,34000,Diesel,550000
419,Renault Kwid RXT,Renault,2015,43000,Petrol,270000
420,Ford EcoSport Titanium,Ford,2014,40000,Diesel,500000
421,Honda Amaze 1.5,Honda,2016,160000,Diesel,240000
422,Hyundai Verna 1.6,Hyundai,2017,12000,Petrol,800000
423,BMW 5 Series,BMW,2011,49000,Diesel,1299000
424,Skoda Superb 1.8,Skoda,2011,68000,Petrol,530000
425,Audi Q3 2.0,Audi,2013,37000,Diesel,1499000
426,Mahindra Bolero DI,Mahindra,2012,59466,Diesel,220000
